SN,,,,, Intrested In Learning, Gender, Level, Location,  Date Created,,,,,
69,,,,,Digital marketing, SEO,Female,Beginner,Nigeria,02/08/2023 08:05,,,,
70,,,,,Digital marketing,Male,Intermediate,Ibadan Oyo state,02/08/2023 08:38,,,,,
71,,,,,wilfridahossi649@gmail.com,Male,Beginner,Yes,02/08/2023 09:15,,,,,
72,,,,,Graphics,Female,Beginner,Nigeria,02/08/2023 09:43,,,,,
73,,,,,Graphics,Female,Beginner,Nigeria h,02/08/2023 09:44,,,,,
74,,,,,UI/UX,Female,Beginner,Lagos,02/08/2023 11:41,,,,,
75,,,,,Tech,Male,Beginner,Port Harcourt,02/08/2023 11:51,,,,,
76,,,,,UI/UX,Male,Beginner,Lagos,02/08/2023 12:22,,,,,
77,,,,,Frontend Dev /Data Analytics,Male,Beginner,Lagos,02/08/2023 12:22,,,,,
78,,,,,Frontend Dev /Data Analytics,Male,Beginner,Lagos,02/08/2023 12:23,,,,,
79,,,,,Tech,Male,,Ilorin,02/08/2023 14:44,,,,,
80,,,,,Data Science,Male,Beginner,Porthacourt,02/08/2023 14:55,,,,,
81,,,,,Data science,Female,Beginner,Lagos,02/08/2023 15:01,,,,,
82,,,,,Data science,Female,Beginner,Lagos,02/08/2023 15:01,,,,,
83,,,,,Graphics design,Male,Intermediate,Enugu,02/08/2023 15:17,,,,,
84,,,,,Artificial intelligence and Cyber Security,Female,Beginner,Port Harcourt,02/08/2023 15:46,,,,,
85,,,,,Data analysis,Male,Intermediate,Lagos,02/08/2023 16:02,,,,,
86,,,,,Data science and programming,Male,,Osun,02/08/2023 18:24,,,,,
87,,,,,Digital  marketing,Female,Beginner,Lagos,02/08/2023 19:45,,,,,
88,,,,,Coding,Female,Beginner,Nigeria,02/08/2023 20:44,,,,,
89,,,,,Data Analysis,Female,Beginner,Cross River State, Nigeria,02/08/2023 20:47,,,,
90,,,,,Data Analysis,Female,Beginner,Cross River State, Nigeria,02/08/2023 20:54,,,,
91,,,,,Artificial intelligence,Male,Beginner,Port Harcourt  Nigeria,02/08/2023 21:22,,,,,
92,,,,,Project management,Female,Professional,Kaduna state,03/08/2023 03:53,,,,,
93,,,,,Data Science, Analytics,Male,Professional,Lagos,03/08/2023 06:33,,,,
94,,,,,I don't have any idea now,Male,Beginner,Anambra,03/08/2023 08:46,,,,,
95,,,,,Tech Writing,Female,Intermediate,Jos, Nigeria,03/08/2023 09:57,,,,
96,,,,,Data Science, Business Analytics, Data Analytics,Female,Professional,England,03/08/2023 10:50,,,
97,,,,,Artificial intelligence,Female,Beginner,Nigeria,03/08/2023 10:56,,,,,
98,,,,,IT Support,Male,Intermediate,Jos,03/08/2023 15:08,,,,,
99,,,,,Web developer and design,Male,Beginner,Akure. Ondo state,03/08/2023 23:30,,,,,
100,,,,,Coding,Female,Beginner,Ghana,04/08/2023 04:36,,,,,
101,,,,,Content Creation,Male,Beginner,Warri,04/08/2023 07:14,,,,,
102,,,,,Social media manager and content creator,Female,Beginner,Akure, Nigeria,04/08/2023 07:47,,,,
103,,,,,Not sure,Female,Beginner,Jos,04/08/2023 09:25,,,,,
104,,,,,Digital marketing,Female,Intermediate,Lagos, Nigeria,04/08/2023 10:40,,,,
105,,,,,UI/UX,Male,Beginner,Lagos,04/08/2023 14:07,,,,,
106,,,,,Tech,Female,Beginner,Edo State,04/08/2023 14:10,,,,,
107,,,,,Tech,Female,Beginner,Lagos,04/08/2023 14:10,,,,,
108,,,,,Web development,Male,Beginner,Abeokuta Ogun State,04/08/2023 14:23,,,,,
109,,,,,Web Development,Female,Beginner,Oyo,04/08/2023 14:26,,,,,
110,,,,,UI / UX,Male,Beginner,Abeokuta,04/08/2023 14:28,,,,,
111,,,,,Tech,Female,Beginner,Lagos,04/08/2023 14:28,,,,,
112,,,,,Digital Marketing, Influencer Marketing,Female,Beginner,Umuahia, Abia,04/08/2023 14:31,,,
113,,,,,Web design and graphic design,Male,Beginner,Lagos, Nigeria,04/08/2023 14:31,,,,
114,,,,,Web development,Female,Professional,Ife, Osun state,04/08/2023 14:32,,,,
115,,,,,Web development,Female,Professional,Ife, Osun state,04/08/2023 14:32,,,,
116,,,,,AI,Female,Beginner,Abuja, Nigeria.,04/08/2023 14:36,,,,
117,,,,,AI,Female,Beginner,Abuja, Nigeria.,04/08/2023 14:37,,,,
118,,,,,Web design,Male,Beginner,Kano,04/08/2023 14:51,,,,,
119,,,,,Brand Identity Design,Male,Intermediate,Ekiti,04/08/2023 15:07,,,,,
120,,,,,DATA ANALYSIS AND CLOUD COMPUTING,Female,Beginner,Lagos,04/08/2023 15:22,,,,,
121,,,,,Data analysis,Male,Beginner,LAGOS NIGERIA,04/08/2023 15:28,,,,,
122,,,,,Programming| Web development,Male,Beginner,Ibadan, Oyo State,04/08/2023 15:30,,,,
123,,,,,Web Development,Female,Beginner,Choba, Port Harcourt,04/08/2023 15:32,,,,
124,,,,,Web development,Female,Beginner,Nigeria,04/08/2023 15:33,,,,,
125,,,,,Software engineering,Male,Beginner,Mowe Ogun state,04/08/2023 15:34,,,,,
126,,,,,Any tech skill,Male,Beginner,Nigeria,04/08/2023 15:34,,,,,
127,,,,,Web design and graphics.,Male,Beginner,Edo state,04/08/2023 15:35,,,,,
128,,,,,Technology,Female,Intermediate,56, Adekeye Street,Ajegunle Apapa Lagos.,04/08/2023 15:39,,,
129,,,,,Software engineering,Female,Intermediate,Ibadan,04/08/2023 15:41,,,,,
130,,,,,Technology,Female,,56, Adekeye Street, Ajegunle Apapa Lagos.,04/08/2023 15:42,,,
131,,,,,Technology,Female,,56, Adekeye Street, Ajegunle Apapa Lagos.,04/08/2023 15:42,,,
132,,,,,Technology,Female,,56, Adekeye Street, Ajegunle Apapa Lagos.,04/08/2023 15:42,,,
133,,,,,Tech,Male,Beginner,Edo State, Nigeria.,04/08/2023 15:42,,,,
134,,,,,Web design,Male,Beginner,Lagos,04/08/2023 15:43,,,,,
135,,,,,Web development,Female,Beginner,Abia state, Nigeria,04/08/2023 15:46,,,,
136,,,,,Graphic Design,Male,Intermediate,Ebonyi state,04/08/2023 15:49,,,,,
137,,,,,Graphic Design,Male,Intermediate,Ebonyi state,04/08/2023 15:52,,,,,
138,,,,,UI/UX design,Female,Beginner,Lagos,04/08/2023 15:56,,,,,
139,,,,,Wrige, make music online, make website,,Female,,United Kingdom,04/08/2023 16:18,,
140,,,,,Cybersecurity,Female,,Nigeria,04/08/2023 16:23,,,,,
141,,,,,Not sure,Female,Beginner,Nigeria,04/08/2023 16:29,,,,,
142,,,,,Tech Management,Male,Beginner,Enugu State,04/08/2023 16:43,,,,,
143,,,,,Web3,Female,Beginner,Ogun state,04/08/2023 16:47,,,,,
144,,,,,Product Management,Male,Beginner,Warri,04/08/2023 16:55,,,,,
145,,,,,Full Stack,Female,Beginner,Akure,04/08/2023 17:12,,,,,
146,,,,,Full Stack,Female,Beginner,Akure,04/08/2023 17:12,,,,,
147,,,,,Cyber security,Female,Beginner,Lagos,04/08/2023 17:15,,,,,
148,,,,,Tech,Male,Beginner,Lagos,04/08/2023 17:19,,,,,
149,,,,,I’m still confused on what to do,Female,Beginner,Enugu,04/08/2023 17:35,,,,,
150,,,,,Programming and web development,Male,Beginner,Zaria kaduna state,04/08/2023 17:57,,,,,
151,,,,,Online marketing,Female,,Lagos,04/08/2023 18:06,,,,,
152,,,,,Product management,Female,Intermediate,Nigeria,04/08/2023 18:11,,,,,
153,,,,,Product management,Female,Intermediate,Nigeria,04/08/2023 18:11,,,,,
154,,,,,Tech,Male,Beginner,25b ekimogun street,04/08/2023 18:16,,,,,
155,,,,,Ai,Female,Beginner,Lagos State,Nigeria,04/08/2023 20:35,,,,
156,,,,,Web development,Male,Beginner,Kogi state,04/08/2023 21:07,,,,,
157,,,,,Web design,Female,Beginner,Ago Iwoye (School) or Lagos (Home),04/08/2023 21:09,,,,,
158,,,,,Data analysis,Female,Beginner,Ibadan,04/08/2023 21:14,,,,,
159,,,,,I'm interested in getting insight into tech skills,Female,Beginner,Anambra,04/08/2023 22:15,,,,,
160,,,,,Tech,Male,Beginner,Nigeria,05/08/2023 06:39,,,,,
161,,,,,Website Design. Front end and Back end,Male,Beginner,FUTA, Akure, Ondo State, Nigeria.,05/08/2023 06:41,,
162,,,,,Web development,Female,Beginner,Lagos, Nigeria.,05/08/2023 07:50,,,,
163,,,,,graphics design,Male,Beginner,Ilorin,05/08/2023 08:04,,,,,
164,,,,,Website design and Programming,Male,Beginner,Ibadan Nigeria,05/08/2023 08:09,,,,,
165,,,,,Data analysis,Female,Beginner,Ogunstate,05/08/2023 08:19,,,,,
166,,,,,UI/UX,Female,Beginner,Abuja,05/08/2023 08:27,,,,,
167,,,,,Tech,Female,Beginner,Osun State,05/08/2023 08:47,,,,,
168,,,,,Backend developer,Female,Beginner,Osun-state,05/08/2023 16:30,,,,,
169,,,,,Web development,Female,Beginner,Lagos Nigeria,05/08/2023 16:34,,,,,
170,,,,,Web development,Female,Beginner,Lagos Nigeria,05/08/2023 16:34,,,,,
171,,,,,Graphic design,Male,Beginner,Ojo, Lagos,05/08/2023 16:40,,,,
172,,,,,Web development,Male,Beginner,Ibadan,05/08/2023 16:41,,,,,
173,,,,,Web development,Male,Beginner,Ibadan,05/08/2023 16:42,,,,,
174,,,,,Full stack development,Male,Beginner,Nigeria,05/08/2023 16:46,,,,,
175,,,,,Tech,Female,Beginner,Lagos state,05/08/2023 16:49,,,,,
176,,,,,Don't know yet,Female,Beginner,Egypt,05/08/2023 16:53,,,,,
177,,,,,Don't know yet,Female,Beginner,Egypt,05/08/2023 16:53,,,,,
178,,,,,Graphics Design, Cyber security and Data Analysis,Male,Beginner,Lagos, Nigeria,05/08/2023 16:56,,,
179,,,,,Graphic designer, and content creation,Male,Intermediate,Anambra,05/08/2023 16:58,,,,
180,,,,,Digital marketing,Male,Beginner,Lagos,05/08/2023 17:00,,,,,
181,,,,,Anything tech,Female,Intermediate,Accra, Ghana.,05/08/2023 17:05,,,,
182,,,,,Graphic Design,Male,Beginner,Nigeria,05/08/2023 17:16,,,,,
183,,,,,Data analysis,Female,Beginner,Ibadan,05/08/2023 17:49,,,,,
184,,,,,Technology,Female,,Lagos state badagry west,05/08/2023 17:51,,,,,
185,,,,,Coding,Female,Beginner,Ogbomoso,05/08/2023 17:53,,,,,
186,,,,,Coding,Female,Beginner,Ogbomoso,05/08/2023 17:53,,,,,
187,,,,,Web Design & Development,Male,Beginner,Lagos, Nigeria,05/08/2023 17:59,,,,
188,,,,,Data science,Female,Beginner,Lagos,05/08/2023 18:05,,,,,
189,,,,,Tech,Female,Beginner,Kaduna state,05/08/2023 18:27,,,,,
190,,,,,Tech,Female,Beginner,Kaduna state,05/08/2023 18:27,,,,,
191,,,,,Digital marketing,Male,Beginner,Ilorin,05/08/2023 18:37,,,,,
192,,,,,Tech,Female,Beginner,Lagos, Nigeria,06/08/2023 08:05,,,,
193,,,,,Web development,Female,Intermediate,Accra Ghana,06/08/2023 12:53,,,,,
194,,,,,Web development,Female,Intermediate,Accra Ghana,06/08/2023 12:53,,,,,
195,,,,,Data Science,Female,Beginner,OAU,06/08/2023 15:16,,,,,
196,,,,,Data Science,Female,Beginner,OAU,06/08/2023 15:19,,,,,
197,,,,,Full stack and Blockchain,Male,Beginner,Enugu,06/08/2023 23:34,,,,,
198,,,,,Product management,Female,Beginner,Abeokuta,07/08/2023 08:36,,,,,
199,,,,,Web development,Female,Beginner,Lagos,07/08/2023 09:10,,,,,
200,,,,,Web development,Female,Beginner,Lagos,07/08/2023 09:10,,,,,
201,,,,,Graphic design,Male,Beginner,Ibadan, Nigeria,07/08/2023 09:11,,,,
202,,,,,Web developer (front end),Female,Beginner,Ile-ife,  Osun state,  Nigeria,07/08/2023 09:13,,,
203,,,,,Web development,Female,Beginner,Akure,07/08/2023 09:15,,,,,
204,,,,,Ui/Ux,Female,Beginner,Lagos,07/08/2023 09:39,,,,,
205,,,,,Product management,Female,Beginner,Lagos,07/08/2023 10:00,,,,,
206,,,,,Data analytics,Female,Beginner,Lagos,07/08/2023 10:19,,,,,
207,,,,,Cybersecurity / data analytics,Male,Beginner,Nigeria,07/08/2023 11:19,,,,,
208,,,,,Forex trading,Male,Beginner,Ijebu ode,07/08/2023 11:20,,,,,
209,,,,,Technical writing,Female,Beginner,Lagos,07/08/2023 11:27,,,,,
210,,,,,Web Development,Female,Beginner,Lagos/ Ekiti,07/08/2023 11:59,,,,,
211,,,,,Counseling,Female,Beginner,Nigeria,07/08/2023 11:59,,,,,
212,,,,,Counseling,Female,Beginner,Nigeria,07/08/2023 11:59,,,,,
213,,,,,Programing and Blockchain technology,Female,Beginner,Benin city, Edo state, Nigeria.,07/08/2023 12:01,,,
214,,,,,Programing and Blockchain technology,Female,Beginner,Benin city, Edo state, Nigeria.,07/08/2023 12:01,,,
215,,,,,How to design,Female,Beginner,Lagos,07/08/2023 12:02,,,,,
216,,,,,Coding and web development,Female,Beginner,Ekiti,07/08/2023 12:10,,,,,
217,,,,,Web development,Female,Beginner,Lagos,07/08/2023 12:12,,,,,
218,,,,,Web development,Female,Beginner,Lagos,07/08/2023 12:20,,,,,
219,,,,,Web development,Female,Beginner,Mowe, Ogun state,07/08/2023 12:32,,,,
220,,,,,Web development,Female,Beginner,Mowe, Ogun state,07/08/2023 12:33,,,,
221,,,,,Tech,Female,Beginner,Osun state,07/08/2023 12:40,,,,,
222,,,,,Coding,Web design,Female,Beginner,Lagos,07/08/2023 12:41,,,,
223,,,,,Cybersecurity,Male,Beginner,Nigeria,07/08/2023 12:45,,,,,
224,,,,,Graphics designing,Female,Intermediate,Lagos state,07/08/2023 12:46,,,,,
225,,,,,Web development,Female,Beginner,Osun State,07/08/2023 12:47,,,,,
226,,,,,Tech....Reviews And Development,Male,Beginner,Nigeria.. Osogbo,07/08/2023 12:52,,,,,
227,,,,,Virtual assistant,Female,Intermediate,Ijebu ode,07/08/2023 12:53,,,,,
228,,,,,Full stack web development and data analytics,Female,Beginner,igwefavour009@gmail.com,07/08/2023 13:05,,,,,
229,,,,,Full stack web development and data analytics,Female,Beginner,igwefavour009@gmail.com,07/08/2023 13:06,,,,,
230,,,,,Not yet decided,Female,Intermediate,Nigeria,07/08/2023 13:19,,,,,
231,,,,,Graphic Design and Video Editing,Female,Intermediate,Osun Nigeria,07/08/2023 13:24,,,,,
232,,,,,web development,Male,Beginner,itasaku,07/08/2023 13:30,,,,,
233,,,,,CAC,Female,Beginner,Ilorin,07/08/2023 13:54,,,,,
234,,,,,Tech,Female,Beginner,Ilorin,07/08/2023 13:56,,,,,
235,,,,,Excel word and Google workspace,Female,Beginner,No 12 Alarape street langbasa Ajah Lagos,07/08/2023 14:05,,,,,
236,,,,,Excel word and Google workspace,Female,Beginner,No 12 Alarape street langbasa Ajah Lagos,07/08/2023 14:05,,,,,
237,,,,,Excel word and Google workspace,Female,Beginner,No 12 Alarape street langbasa Ajah Lagos,07/08/2023 14:05,,,,,
238,,,,,Data analysis,Female,Beginner,Nigeria,07/08/2023 14:12,,,,,
239,,,,,Graphic Design,Female,Beginner,Ilorin,07/08/2023 14:14,,,,,
240,,,,,Tech,Male,Beginner,Ikorodu lagos,07/08/2023 14:33,,,,,
241,,,,,Web design,Female,Beginner,Lagos,07/08/2023 14:35,,,,,
242,,,,,Data analysis, Excel, pivot table, powerBI,Female,Beginner,Maiduguri,07/08/2023 14:35,,
243,,,,,Tech,Female,Beginner,Osun state,07/08/2023 14:45,,,,,
244,,,,,Graphic Design,Female,Intermediate,Nigeria,07/08/2023 14:55,,,,,
245,,,,,UI/UX design,Female,Beginner,Ogudu Lagos,07/08/2023 14:57,,,,,
246,,,,,Web development and business analysis.,Female,Beginner,Lagos, Surulere.,07/08/2023 15:05,,,,
247,,,,,Full stack and Blockchain,Male,Beginner,Enugu,07/08/2023 15:17,,,,,
248,,,,,Mobile developer,Male,Beginner,Akure,07/08/2023 15:53,,,,,
249,,,,,Coding,Male,Beginner,Ibadan,07/08/2023 16:01,,,,,
250,,,,,Graphic design,Female,Intermediate,Ife,07/08/2023 16:10,,,,,
251,,,,,Blogging, web development, mobile app creation,Male,Beginner,Oyo state, Nigeria,07/08/2023 16:39,,
252,,,,,Web design,Male,Beginner,Osun state,07/08/2023 17:16,,,,,
253,,,,,Data Analysis,Male,Beginner,Lagos,07/08/2023 18:30,,,,,
254,,,,,UI UX,Male,Intermediate,Ibadan, Nigeria,07/08/2023 21:57,,,,
255,,,,,Technology,Female,Beginner,Lagos State,07/08/2023 22:49,,,,,
256,,,,,Ui/Ux,Female,Beginner,Nasarawa,07/08/2023 23:41,,,,,
257,,,,,Software development,Male,Beginner,Lagos,08/08/2023 00:10,,,,,
258,,,,,Software development,Male,Beginner,Lagos,08/08/2023 00:10,,,,,
259,,,,,Video/audio editing,Male,Beginner,Port Harcourt,08/08/2023 08:32,,,,,
260,,,,,Product design,Female,Beginner,Lagos,08/08/2023 09:37,,,,,
261,,,,,Web design,Female,Beginner,Osun state,08/08/2023 09:38,,,,,
262,,,,,Web design,Female,Beginner,Ondo State, Nigeria,08/08/2023 09:39,,,,
263,,,,,Web development,Male,,Ilorin,08/08/2023 09:43,,,,,
264,,,,,Mobile App,Male,Professional,Ogun State,08/08/2023 09:47,,,,,
265,,,,,Graphics Design (Brand Identity Design),Female,Beginner,Warri/Ife,08/08/2023 09:48,,,,,
266,,,,,Graphic designer,Male,Professional,Lagos,08/08/2023 09:50,,,,,
267,,,,,Any skill,Female,Beginner,Ado Ekiti,08/08/2023 10:08,,,,,
268,,,,,Python programming,Male,Beginner,United Kingdom,08/08/2023 10:13,,,,,
269,,,,,Forex Trading,Male,Beginner,Nigeria,08/08/2023 10:15,,,,,
270,,,,,Forex Trading,Male,Beginner,Nigeria,08/08/2023 10:15,,,,,
271,,,,,Web development,Female,Beginner,Nigeria,08/08/2023 10:17,,,,,
272,,,,,Cyber hacking,Female,Beginner,Aba,Abia State,08/08/2023 10:18,,,,
273,,,,,Product design,Female,,Akure,08/08/2023 10:19,,,,,
274,,,,,Web designing,Male,Beginner,Lagos,08/08/2023 10:49,,,,,
275,,,,,Web design,Female,Beginner,Ibadan,08/08/2023 10:50,,,,,
276,,,,,Data analysis,Female,Beginner,Abeokuta, Nigeria,08/08/2023 10:50,,,,
277,,,,,Content Creation,Female,Beginner,Lagos,08/08/2023 10:52,,,,,
278,,,,,UI/UX,Female,Beginner,Lagos,08/08/2023 10:52,,,,,
279,,,,,Web design,Female,Beginner,Ibadan,08/08/2023 10:52,,,,,
280,,,,,Web design,Female,Beginner,Ibadan,08/08/2023 10:52,,,,,
281,,,,,Data Analysis,Female,Beginner,Lagos,08/08/2023 10:54,,,,,
282,,,,,Data Analysis,Female,Beginner,Lagos,08/08/2023 10:54,,,,,
283,,,,,Programing,Male,Beginner,Port Harcourt Rivers State,08/08/2023 11:08,,,,,
284,,,,,Python,Male,Beginner,Akure,08/08/2023 11:12,,,,,
285,,,,,Web Design,Male,Beginner,Delta State,08/08/2023 11:18,,,,,
286,,,,,Content Writing,Male,Intermediate,Ibadan, Oyo State, Nigeria,08/08/2023 11:34,,,
287,,,,,Data Analysis,Female,Beginner,Osogbo, Osun state, Nigeria,08/08/2023 11:53,,,
288,,,,,I don't know yet,Female,Intermediate,Ibadan/Ife,08/08/2023 11:55,,,,,
289,,,,,Project Management, UI/UX Interface, Data Analysis,Male,Beginner,Jos,  Nigeria,08/08/2023 12:45,,
290,,,,,Web design and product design,Male,Intermediate,Akure, Nigeria,08/08/2023 13:05,,,,
291,,,,,Project management and business analyst,Female,Beginner,Nasarawa,08/08/2023 14:54,,,,,
292,,,,,Programming,Female,Beginner,Ibadan, Oyo State,08/08/2023 15:05,,,,
293,,,,,Web Development,Female,Beginner,Akure,08/08/2023 15:20,,,,,
294,,,,,UI/UX design,Female,Beginner,Akwa Ibom,08/08/2023 15:23,,,,,
295,,,,,Digital marketing,Female,Intermediate,Lagos,08/08/2023 15:24,,,,,
296,,,,,Product Design,Female,Beginner,Ile Ife. Osun State,08/08/2023 15:39,,,,,
297,,,,,Web Design and development, Coding,Female,Beginner,Ibadan,08/08/2023 15:50,,,,
298,,,,,Business analysis,Female,Beginner,Kents UK,08/08/2023 15:56,,,,,
299,,,,,Tech knowledge,Female,Beginner,Lagos,08/08/2023 15:58,,,,,
300,,,,,IT,Male,Beginner,Imo State,08/08/2023 16:06,,,,,
301,,,,,Computer Tech,Male,Beginner,Akure,08/08/2023 16:10,,,,,
302,,,,,Tech,Male,,Ife,08/08/2023 17:24,,,,,
303,,,,,Tech,Male,Beginner,Ife,08/08/2023 17:27,,,,,
304,,,,,Tech,Female,Beginner,Abeokuta, Ogun state,08/08/2023 17:30,,,,
305,,,,,Digital Arts,Male,Intermediate,Rivers state.,08/08/2023 18:08,,,,,
306,,,,,Catering,Female,Intermediate,Ibadan,08/08/2023 21:09,,,,,
307,,,,,Web design,Female,,Editing state,09/08/2023 01:04,,,,,
308,,,,,Web3,Male,Beginner,Lagos, Nigeria,09/08/2023 06:17,,,,
309,,,,,Tech and writing,Female,Beginner,Abakaliki, Ebonyi state, Nigeria.,09/08/2023 08:23,,,
310,,,,,Web design | Graphics design,Female,Beginner,Akure, Ondo State  | Ogba, Lagos State,09/08/2023 08:42,,,
311,,,,,Software development,Male,Intermediate,Nigeria,09/08/2023 08:59,,,,,
312,,,,,Video editing,Female,Beginner,Abeokuta,09/08/2023 09:01,,,,,
313,,,,,Tech,Female,Beginner,Osun,09/08/2023 09:03,,,,,
314,,,,,Anyone,Female,Beginner,Lagos state,09/08/2023 09:34,,,,,
315,,,,,Artificial intelligence and machine learning,Male,Beginner,Rd 16 great gra Mgbaraja,09/08/2023 09:47,,,,,
316,,,,,Content writing and video editing,Female,Intermediate,Rivers State,09/08/2023 10:01,,,,,
317,,,,,Tech,Female,Beginner,Abuja,09/08/2023 10:40,,,,,
318,,,,,Tech,Female,,Abuja,09/08/2023 10:41,,,,,
319,,,,,Web development,Female,Beginner,Abuja,09/08/2023 10:44,,,,,
